Fiber,pCa,Act_percent,M_length,sarc_length,M_area,ISI,ISI_code,Cond_Amp,CA_code,SRS,SRS_UC,Impulse,Impulse_UC,back_L,back_F,backFpercentUC,F_tZero,SRS_CO,SRS_CO_UC,Impulse_CO,Impulse_CO_UC
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,10,g10000,0.12,a12,50083.24596,58.68987758,311261.0146,91.95842727,0.000429659,2211.819743,80.89997514,2561.726544,50083.24596,58.68987758,311261.0146,91.95842727
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,10,g10000,0.38,b38,81358.10996,95.33921817,286959.5114,84.7788323,0.000429753,1680.537088,61.46767116,2272.999094,81358.10996,95.33921817,286959.5114,84.7788323
12Dec2017a,9,0.863439126,0.0004299,2.62E-06,8.25E-10,10,g10000,1.21,c121,52265.23257,61.246831,302868.9427,89.47908773,0.000429967,1832.466321,67.02466614,2597.208028,52265.23257,61.246831,302868.9427,89.47908773
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.001,a1,3.83,f383,179988.3826,163.8513265,451702.343,90.94369606,0.000429697,4253.758997,94.49249159,3437.169725,128508.7216,116.987131,495484.6654,99.75862979
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.001,a1,0,zero,109848.5966,100,496683.5114,100,0.000429939,4501.68995,100,4518.088502,109848.5966,100,496683.5114,100
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.12,a12,85650.68399,77.97157783,461354.8136,92.88708061,0.000429713,4030.215714,89.52672793,4171.73656,85650.68399,77.97157783,461354.8136,92.88708061
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.38,b38,85646.64647,77.96790229,479187.2839,96.47738909,0.000429855,4184.228163,92.94794198,4438.030226,85646.64647,77.96790229,479187.2839,96.47738909
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.001,a1,1.21,c121,142896.5069,130.0849636,472314.9514,95.09374493,0.000429877,4478.109717,99.47619153,3904.443312,123705.4802,112.6145295,485894.4323,97.82777585
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.1,c100,3.83,f383,95283.32572,86.74059448,479475.7652,96.53547062,0.000429682,4354.483226,96.7299675,4322.004743,69705.12142,63.45563218,489672.5827,98.58845148
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.316,d316,3.83,f383,99180.0789,90.28797997,475411.5453,95.71719905,0.000430055,4373.754388,97.15805479,4398.888162,99180.0789,90.28797997,475411.5453,95.71719905
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,1,e1000,3.83,f383,130313.4002,118.6300092,480675.2214,96.77696366,0.000430083,4501.536822,99.99659843,4266.862884,130313.4002,118.6300092,480675.2214,96.77696366
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,3.162,f3162,3.83,f383,66984.00374,60.97847929,469261.8901,94.47905544,0.000429858,4267.96954,94.80816287,4355.620885,66984.00374,60.97847929,469261.8901,94.47905544
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,10,g10000,3.83,f383,116382.726,105.9483048,475264.1053,95.68751415,0.00042962,4370.505603,97.08588666,4250.939908,116382.726,105.9483048,475264.1053,95.68751415
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.12,a12,135830.12,123.6521214,609052.1106,122.6237829,0.000429959,5986.563343,132.9847993,5805.241223,135830.12,123.6521214,609052.1106,122.6237829
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.1,c100,0.38,b38,92360.71707,84.08001552,481404.9375,96.92388138,0.000429869,4577.455787,101.6830532,4404.55882,92360.71707,84.08001552,481404.9375,96.92388138
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.1,c100,1.21,c121,92231.0207,83.96194722,461100.4776,92.83587375,0.000429669,4165.064707,92.52224727,4107.435858,89467.39754,81.44609973,459028.5412,92.41871949
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.12,a12,92512.37536,84.21807672,471100.821,94.84929742,0.000429834,4255.785362,94.53750502,4211.965042,92512.37536,84.21807672,471100.821,94.84929742
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.316,d316,0.38,b38,63731.66053,58.01772849,463133.6421,93.24522184,0.000430004,4294.977819,95.40812155,4379.832599,63731.66053,58.01772849,463133.6421,93.24522184
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,0.316,d316,1.21,c121,104289.4582,94.93927226,450522.9076,90.70623389,0.000429889,3964.431307,88.06540102,4025.307242,104289.4582,94.93927226,450522.9076,90.70623389
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,1,e1000,0.12,a12,93304.68774,84.93935346,490398.9543,98.73469583,0.000430005,4850.776667,107.7545704,4624.499873,93304.68774,84.93935346,490398.9543,98.73469583
